FID,LANDMARKNA,STNO,STNAME,SUFFIX,OWNERSHIP,CITY,UNITID,SERVSTAT,LAT,LONG,nBaseball,nBasket,nBocce,nCricket,nIceRink,nPlaySite,nSoccer,nSoftball,nSprayPad,nTennis
106,CORDINGLEY PARK,6530,SARATOGA,WAY,CITY OF MISSISSAUGA,MISSISSAUGA,P-364,OPEN,43.563639,-79.770307,0,0,0,0,0,0,1,1,0,0
107,WINDRUSH WOODS,2780,GULFSTREAM,WAY,CITY OF MISSISSAUGA,MISSISSAUGA,P-327,OPEN,43.597729,-79.771711,0,0,0,0,0,1,0,0,0,0
108,SUGAR MAPLE WOODS,5510,GLEN ERIN,DR,CITY OF MISSISSAUGA,MISSISSAUGA,P-326,OPEN,43.561892,-79.728149,0,0,0,0,0,0,0,0,0,0
109,ASHWOOD PARK,2405,CLIFF,RD,CITY OF MISSISSAUGA,MISSISSAUGA,P-072,OPEN,43.584887,-79.60172,0,0,0,0,1,1,0,0,0,0
110,WILLOWCREEK PARK,3115,SUNNYHILL,DR,CITY OF MISSISSAUGA,MISSISSAUGA,P-070,OPEN,43.615419,-79.58452,0,0,0,0,0,1,0,0,0,0
112,JAYCEE PARK,1520,GULLEDEN,DR,CITY OF MISSISSAUGA,MISSISSAUGA,P-148,OPEN,43.624851,-79.598729,0,0,0,0,0,1,0,0,0,0
113,MARINA PARK,15,FRONT,ST,CITY OF MISSISSAUGA,MISSISSAUGA,P-112,OPEN,43.549738,-79.585466,0,0,0,0,0,0,0,0,0,0
114,HAROLD E. KENNEDY PARK,20,ROSEWOOD,AVE,CITY OF MISSISSAUGA,MISSISSAUGA,P-110,OPEN,43.557116,-79.582322,0,0,0,0,0,0,0,0,0,0
115,WOODLAND MEADOWS,910,MCBRIDE,AVE,CITY OF MISSISSAUGA,MISSISSAUGA,P-083,OPEN,43.563754,-79.644271,0,0,0,0,0,0,0,0,0,0
116,STILLMEADOW PARK,2275,STILLMEADOW,RD,CITY OF MISSISSAUGA,MISSISSAUGA,P-082,OPEN,43.56591,-79.614902,0,0,0,0,0,0,0,0,0,0
117,NOT TO BE NAMED (P-275) *(BETWEEN DUNDAS AND HAMMOND),2637,HAMMOND,RD,CITY OF MISSISSAUGA,MISSISSAUGA,P-275,OPEN,43.538079,-79.664012,0,0,0,0,0,0,0,0,0,0
